Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Grau Data Storage,https://www.crunchbase.com/organization/grau-data-storage,"Cyber Security, Security, Software","Schwäbisch Gmünd, Baden-Wurttemberg, Germany","GRAU DATA offers cost-efficient solutions for secure, long-term and audit-compliant archiving of data","222,168",1990-01-01,year,http://www.graudata.com/,,"GRAU DATA is a flexible, highly-productive, medium-sized company which is located in Schwäbisch Gmünd, Germany. GRAU DATA has concentrated on the development and sale of software products since 2007. Many years of experience in the areas of HSM, archiving, and data exchange characterize GRAU DATA. Its software products are sold worldwide via distributors, resellers and OEM partnerships. In its archiving products as well as in its DataSpace data-exchange platform, top priority is given to hardware independence and security.",8500000,USD,8500000,Early Stage Venture,In Contact
Anitian,https://www.crunchbase.com/organization/anitian,"Cloud Security, Computer, Cyber Security","Portland, Oregon, United States",The oldest and most experienced security intelligence firm in the United States. ,"10,343",1995-10-10,day,https://www.anitian.com/,info@anitian.com,"At Anitian, we believe security is essential for innovation, growth, and prosperity. Security is an enabling force for good. To achieve our vision, we are on a mission to provide actionable security intelligence to keep our customers ahead of the threat. We fulfill that mission with a suite of cybersecurity products and services.",11800000,USD,11800000,Early Stage Venture,New
Imagen Ltd,https://www.crunchbase.com/organization/cambridge-imaging-systems-ltd,"Cloud Data Services, Cyber Security, Information Technology, Video, Web Development","Cambridge, Cambridgeshire, United Kingdom",Imagen Ltd is a modular enterprise video platform that enables content owners to publish and monetize media archives.,"11,794",1996-02-01,day,http://www.imagenevp.com,tom.halkyard@imagenevp.com,"Imagen Ltd is a modular enterprise video platform that enables content owners to publish and monetize small and large-scale media archives. It helps companies of all sizes and industries to manage, search and distribute their media libraries securely. Imagen Ltd was launched in 1996 and is based in Cambridge, Cambridgeshire.",12500000,GBP,17108657,Early Stage Venture,New
TManage,https://www.crunchbase.com/organization/tmanage-inc,"Cyber Security, Enterprise Applications, Information Technology, Project Management, Telecommunications","Austin, Texas, United States","TManage the recognized leader in telework management, utilizes leading-edge technologies and strategic partnerships.","166,025",1998-01-01,year,http://www.tmanage.com,sales@tmanage.com,"TManage Inc. provides managed access, virtual private network (VPN) and security services that enable enterprises to securely and cost-effectively connect remote, mobile and branch offices to corporate resources.",54750000,USD,54750000,Late Stage Venture,New
Cyber-CI Technologies,https://www.crunchbase.com/organization/cyber-ci-technologies,"B2B, Content, Cyber Security","Dallas, Texas, United States",A technology start-up company specializing in providing content management services to B2B exchanges.,"345,828",1999-01-01,year,https://www.cybersitesindia.com,info@cybersitesindia.com,,,,,Early Stage Venture,New
Dtex Systems,https://www.crunchbase.com/organization/dtex-systems,"Business Intelligence, Cyber Security, Machine Learning, Predictive Analytics, Risk Management, Security, Software","San Jose, California, United States",User behavior intelligence provides complete visibility into everything users do on their work devices without compromising privacy.,"5,097",2000-01-01,year,https://www.dtexsystems.com/,info@dtexsystems.com,"Dtex helps enterprises understand what users are doing in their environments. The advanced user behavior intelligence platform provides a high-fidelity signal that gives complete visibility into everything users do on their work devices – on and off the corporate network – without compromising their privacy, and without all the noise. It is scalable enough to be deployed enterprise-wide without negative impact to network performance and fills gaps in existing security. Dtex provides answers needed to stop insider threats quickly. Hundreds of global enterprise customers use Dtex to detect credential misuse, stop data exfiltration and eliminate insider threats.",40034904,USD,40034904,Late Stage Venture,New
Clickatell,https://www.crunchbase.com/organization/clickatell-inc,"Business Information Systems, Call Center, CRM, Cyber Security, Developer APIs, Messaging, Mobile, Mobile Payments, SMS, Telecommunications","Redwood City, California, United States","Clickatell is the original pioneer of the global mobile messaging API, today the company is a global leader in Mobile Engagement & Payments","12,755",2000-01-01,year,http://www.clickatell.com,support@clickatell.com,"Founded in 2000, Clickatell developed the worlds' first Mobile Messaging (SMS) API, enabling any software to send a text message, developers could simply 'cut and paste 4 lines of code' and be done. Today Clickatell is a global leader in helping brands connect, interact and transact with their mobile always customers. Clickatell is a privately held company headquartered in Silicon Valley, CA with over $18 million in venture capital funding led by Sequoia Capital. Today, Clickatell delivers several billion personalized priority messages per year for over 18,000 of the worlds' most loved brands and businesses while being hailed as one of the fastest growing mobile payment enablers in emerging markets. Current customers, which span enterprise sectors, include Visa, IBM, Avaya, McKinsey & Company, Facebook and WhatsApp. For more information, please visit www.clickatell.com or contact pr@clickatell.com.",18000000,USD,18000000,Early Stage Venture,New
"WhamTech, Inc.",https://www.crunchbase.com/organization/whamtech,"Analytics, Big Data, Computer, Cyber Security, Data Integration, Information Technology, Software","Dallas, Texas, United States","WhamTech's SmartData Fabric enables virtual data management, master data management, analytics & security","133,560",2000-01-01,year,http://www.whamtech.com/,info@whamtech.com,"WhamTech, Inc. (WhamTech) is a privately-held US-owned Delaware Corporation established in October 2000 and based in Dallas, Texas. WhamTech's mission is to develop indexed adapter-based data virtualization, federation, integration, and interoperability, analytics and security technology software products. WhamTech develops these products to anticipate, meet and exceed the demands of customers seeking an alternative to the conventional approaches of data warehouses, federated data access with conventional adapters and enterprise search. WhamTech™'s goal is to provide an improved and more seamless way to work with data, by leaving it in sources and changing the way fundamental and advanced data management is addressed. WhamTech adapter products are based on independent, cleansed indexes that execute both structured and unstructured queries, and seamlessly and automatically integrate master data management to provide capabilities normally associated with separate Data Lake, data warehouse, data mart, graph database and link analysis solutions, including providing results when data sources are unavailable and for archive. Collectively, these products are called SmartData Fabric™ (SDF).",1000000,USD,1000000,Early Stage Venture,New
PHOENIX CONTACT Cyber Security AG,https://www.crunchbase.com/organization/innominate-security-technologies,"Cyber Security, Security","Berlin, Berlin, Germany","PHOENIX CONTACT Cyber Security AG designs, develops, and distributes communication security components and solutions for cyber security.","225,678",2001-01-01,year,http://www.phoenixcontact-cybersecurity.com,,"Within the Phoenix Contact group, Phoenix Contact Cyber Security AG is the competence center for industrial cyber security. The company emerged from the Innominate Security Technologies AG who pioneered industrial firewalls and created the mGuard product and solutions portfolio. Phoenix Contact Cyber Security designs and develops innovative technologies which enable secure communication in manufacturing and process automation. More than one thousand customers already place their trust in the mGuard technology to protect themselves from cyber risks. These risks arise from the increasing interconnectedness and automation in manufacturing and along the entire value chain. Besides technology and product development, the company offers highly scalable global cloud systems for industrial applications. Furthermore, we actively support industrial companies by offering technical consulting services.",5230000,USD,5230000,Early Stage Venture,New
StrongKey,https://www.crunchbase.com/organization/strongauth,"Cyber Security, Open Source, Security","Cupertino, California, United States","StrongKey provides cybersecurity solutions and consulting for data protection, enabling easier compliance audits and true cyber resiliency.","12,084",2001-07-01,day,https://www.strongkey.com/,info@strongkey.com,"StrongKey’s vision is to make data breaches irrelevant by redefining how businesses and government agencies secure their information against the inevitability of a breach. For over 19 years, StrongKey’s focus has been on securing data at the application layer and implementing strong authentication. We specialize in custom software solutions, including designing and deploying world-class PKIs, migrating PKI smartcards (CAC, PIV) to FIDO, and cryptographic software design and implementation.  StrongKey supports enterprises and public-sector entities on six continents, protecting some of the leading industries around the globe—ranging from health to financial services—and multiple national central banks. For one European Central Bank, StrongKey delivered a cluster of Tellaro Enterprise Appliances and integrated our solution with existing smartcards, PKI and Oracle Access Manager to deliver document encryption and authentication for over 600 employees, with no changes to existing infrastructure.  For the largest market maker for event tickets in the US, StrongKey deployed multiple clusters of Tellaro Enterprise Appliances and a private cloud of encryption engines, integrated with their primary revenue-generating application for ticket protection—delivered across three data centers with high availability. This deployment allowed for encryption of 50M+ documents in a revenue generating application, with custom document protection, and integration with internal SAN/NAS. We are experts in designing customized data protection deployments involving our Tellaro appliances—single-tenant, FIPS 140-2 certified hardware cryptoprocessors (HSM or TPM)—that secure data through enterprise key management, strong authentication via FIDO2, and digital signatures. The SecureOS software stack installed on the Tellaro involves multiple JAVA applications that implement NIST cryptographic security controls and are easily accessible to client development teams through REST and SOAP web services/APIs. Our solutions can not only serve clients looking to secure documents, web applications, and infrastructures, but also for those looking to exceed requirements for regulations like PCI DSS, GDPR, CCPA, HIPAA, and more.",10000000,USD,10000000,Early Stage Venture,New
