Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status
APERIO Systems,https://www.crunchbase.com/organization/aperio-systems,"Cyber Security, Infrastructure, Real Time, Software","Haifa, Hefa, Israel",APERIO Systems provides industrial critical control systems with true state awareness.,"16,873",1/1/16,day,http://www.aperio-systems.com/,,"APERIO Systems is a group of multidisciplinary researchers, engineers, thinkers and hackers. They are hands-on technologists who think fast and brainstorm original solutions whenever they are needed. Each member of their team has proven accomplishments in their domain of expertise, be it software engineering, machine learning, signal processing or cybersecurity.",4500000,USD,4500000,Seed
CYR3CON,https://www.crunchbase.com/organization/cyr3con,"Cyber Security, Information Technology","Tempe, Arizona, United States",CYR3CON predicts cyberattacks using artificial intelligence.,"19,900",1/1/16,year,https://cyr3con.ai,sales@cyr3con.ai,CYR3CON predicts cyber attacks through a suite of solutions using artificial intelligence.  CYR3CON's methods leverage multiple sources of data from various online hacker communities to avoid many cyber incidents by quantifying and predicting hacker actions before they launch their attacks.,1500000,USD,1500000,Seed
ChameleonX,https://www.crunchbase.com/organization/chameleonx,Cyber Security,"Tel Aviv, Tel Aviv, Israel",Making web applications self-protected.,"20,457",1/1/16,year,https://chameleonx.com,info@chameleonx.com,"An AI-powered Runtime Web Application Self-protecting solution for supply chain attacks, Formjacking, customer data breaches, zero-day attacks, and vulnerabilities. The solution performs behavioral analysis and monitors blind spots that are overlooked by existing solutions which expose businesses to significant risks to privacy, security, sensitive data, and reputation.",1550000,USD,1550000,Seed
Hut Six Security,https://www.crunchbase.com/organization/hut-six-security,"Cyber Security, Security","Newport, Newport, United Kingdom",Hut Six Security is a company protects your organisation from the most prevalent cause of security breaches.,"22,181",1/1/16,year,https://www.hutsix.io/,info@hutsix.io,,450000,GBP,563458,Seed
One World Identity ('OWI'),https://www.crunchbase.com/organization/one-world-identity,"Cyber Security, FinTech, Identity Management, Internet of Things, Management Consulting, News, Professional Services, Risk Management, Social Media","San Francisco, California, United States",OWI is an independent identity research and strategy company focused on digital commerce and infrastructure,"27,274",1/1/16,year,http://www.oneworldidentity.com/,info@oneworldidentity.com,"OWI is an independent identity research and strategy company focused on digital commerce and infrastructure. We help businesses, investors, and governments stay ahead of market trends so they can build sustainable, forward-looking identity-enabled products and strategies. OWI accomplishes this by building community and facilitating dialogue through the KNOW Identity Conferences, as well as services the community with our educational content, news, media, and client services.",2000000,USD,2000000,Seed
Maxxsure,https://www.crunchbase.com/organization/maxxsure,"Cyber Security, Information Technology, Risk Management","Richardson, Texas, United States",Maxxsure is an independent cyber risk assessment platform.,"30,572",1/1/16,year,http://www.maxxsure.com,Shawn.Wiora@Maxxsure.com,"Maxxsure is an independent cyber risk assessment platform providing quantitative framework-based (NIST and others) detailed assessment of processes, hardware/software and network vulnerabilities.  Maxxsure allows you to identify and assess risks by process and technology. - Obtain an accurate understanding of your security and risk posture. - Obtain an comprehensive, accurate & independent report. - Ensure compliance with industry regulations and information security best practices.",3100000,USD,3100000,Seed
Swascan,https://www.crunchbase.com/organization/swascan,"Cyber Security, Information Technology, Internet","Cassina De' Pecchi, Lombardia, Italy","Swascan is a highly regarded and experienced team that provides security consulting services for corporate, industrial and government.","32,382",1/1/16,year,http://www.swascan.com/,info@swascan.com,"Automatically scan for and deploy missing security and non-security patches issued by Windows®, Mac OS®, Linux® and many third-party applications.",600000,EUR,689989,Seed
Hdiv Security,https://www.crunchbase.com/organization/hdiv-security,"Computer, Cyber Security, Network Security","Donostia-san Sebastián, Pais Vasco, Spain",Hdiv protects applications against Security Bugs and Business Logic flaws throughout the SDLC without changing the source code.,"34,192",1/1/16,year,https://hdivsecurity.com,contact@hdivsecurity.com,"Hdiv Security, a pioneer enabling application self-protection, is the first product in its class offering protection against Security Bugs and Business Logic Flaws throughout the Software Development Lifecycle (SDLC). Hdiv solutions enable you to deliver holistic, all-in-one solutions that protect applications from the inside while simplifying implementation across a range of environments. Hdiv eliminates the need for teams to acquire security expertise, automating self-protection to greatly reduce operations costs. Hdiv Security's unified platform makes DevSecOps a reality. Hdiv's solutions are currently used by Government, Banking, Aerospace and Fortune 500 companies.",2022179,USD,2022179,Seed
"YouBase, Inc.",https://www.crunchbase.com/organization/youbase,"Cyber Security, Health Care, Internet, mHealth, Personal Health, Security","Englewood, Colorado, United States","Individual-centric data store for health information, owned & controlled by the patient, built for security & privacy with blockchain","38,097",1/1/16,month,https://www.youbase.io,info@youbase.io,"YouBase makes it safe and easy for consumers to access, control and share valuable health and personal information. YouBase enables individuals to maintain their data and identity across various places where they have health care encounters in their daily life, and share as they like too. YouBase combines blockchain compatible technologies which together deliver a secure and flexible container for data that is independent of control by any one single entity, except the patient. YouBase enables organizations to decentralizes sensitive consumer and personal information while creating a  source of anonymous population data, with consent in-built.",1000000,USD,1000000,Seed
iTrust,https://www.crunchbase.com/organization/itrust-2,"Cloud Infrastructure, Cyber Security, Risk Management, SaaS, Security","Atlanta, Georgia, United States","Cybersecurity risk ratings and risk intelligence to help businesses build trusted relationships with their vendors, partners, and suppliers.","39,966",1/1/16,year,https://www.itrustinc.com,media@itrustinc.com,"iTrust provides cybersecurity risk ratings and risk intelligence to help businesses build trusted relationships with their vendors, partners, and suppliers. iTrust collects and analyzes third-party risk metrics using machine learning to deliver 360° vendor security and compliance visibility. From our headquarters in Atlanta, Georgia, iTrust serves organizations of all sizes, both public and private, across multiple industries, in the United States and around the world.",1000000,USD,1000000,Seed
